"""'Job""","""'Workflow""","""'Failure rate""","""'Avg run time""","""'Avg queue time""","""'Runner type""","""'Runner labels""","""'Job runs"""
"""'PR-CI-SOT / Check bypass / Check bypass""","""'.github/workflows/CI.yml""",0.00,11344,3351,"""'self-hosted""","""'""",211
"""'Linux-DCU / Check bypass / Check bypass""","""'.github/workflows/CI.yml""",0.00,11340,3658,"""'self-hosted""","""'""",212
"""'Windows-Inference / Check bypass / Check bypass""","""'.github/workflows/CI-Windows.yml""",0.00,11312,3040,"""'self-hosted""","""'""",227
"""'PR-CI-Inference / Check bypass / Check bypass""","""'.github/workflows/CI-Build.yml""",0.00,11303,2914,"""'self-hosted""","""'""",211
"""'Distribute-stable-formers / Check bypass / Check bypass""","""'.github/workflows/CI.yml""",0.00,11298,3352,"""'self-hosted""","""'""",164
"""'Linux-XPU / Check bypass / Check bypass""","""'.github/workflows/CI.yml""",0.00,11294,3133,"""'self-hosted""","""'""",211
"""'Doc-Preview / Check bypass / Check bypass""","""'.github/workflows/CI-Build.yml""",0.00,11275,6953,"""'self-hosted""","""'""",159
"""'Distribute-stable-test / Check bypass / Check bypass""","""'.github/workflows/CI.yml""",0.00,11271,3156,"""'self-hosted""","""'""",169
"""'Linux-NPU / Check bypass / Check bypass""","""'.github/workflows/CI.yml""",0.00,11268,2626,"""'self-hosted""","""'""",145
"""'Auto-Parallel / Check bypass / Check bypass""","""'.github/workflows/CI-Build.yml""",0.00,11267,5524,"""'self-hosted""","""'""",164
"""'Api-Benchmark / Check bypass / Check bypass""","""'.github/workflows/CI-Build.yml""",0.00,11266,5257,"""'self-hosted""","""'""",164
"""'Slice / Check bypass / Check bypass""","""'.github/workflows/CI-Build.yml""",0.00,11263,10380,"""'self-hosted""","""'""",173
"""'Model-Benchmark / Check bypass / Check bypass""","""'.github/workflows/CI-Build.yml""",0.00,11241,6946,"""'self-hosted""","""'""",165
"""'Doc-Preview / Check bypass for Doc-Preview / Check bypass""","""'.github/workflows/CI-Build.yml""",0.00,11144,11082,"""'self-hosted""","""'""",6
"""'Api benchmark baseline with schedule (api-bm-20) / Check bypass / Check bypass""","""'.github/workflows/Api-Benchmark-baseline.yml""",0.00,10830,2763,"""'self-hosted""","""'""",3
"""'Api benchmark baseline with schedule (api-bm-27) / Check bypass / Check bypass""","""'.github/workflows/Api-Benchmark-baseline.yml""",0.00,10491,2644,"""'self-hosted""","""'""",3
"""'Slice test / Check bypass / Check bypass""","""'.github/workflows/Slice-torch.yml""",0.00,9933,2516,"""'self-hosted""","""'""",1
"""'Slice test / Check bypass / Check bypass""","""'.github/workflows/Slice-baseline.yml""",0.00,9740,14194,"""'self-hosted""","""'""",1
"""'Upload results""","""'dynamic/copilot-pull-request-reviewer/copilot-pull-request-reviewer""",0.00,8898,2589,"""'hosted""","""'ubuntu-latest""",4
"""'Cancel Coverage for 76676""","""'.github/workflows/cancel-coverage.yml""",0.00,4504,2959,"""'hosted""","""'ubuntu-latest""",1
"""'Cleanup artifacts""","""'dynamic/copilot-pull-request-reviewer/copilot-pull-request-reviewer""",0.00,4191,2683,"""'hosted""","""'ubuntu-latest""",4
"""'Cancel CI-Build for 76687""","""'.github/workflows/cancel-CI-build.yml""",0.00,4131,2671,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76532""","""'.github/workflows/cancel-CI.yml""",0.00,4124,3434,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76749""","""'.github/workflows/cancel-CI.yml""",0.00,4108,2671,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76576""","""'.github/workflows/cancel-CI.yml""",0.00,4097,2464,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76752""","""'.github/workflows/cancel-windows.yml""",0.00,4073,3132,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76749""","""'.github/workflows/cancel-coverage.yml""",0.00,4062,2896,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76723""","""'.github/workflows/cancel-coverage.yml""",0.00,4054,3147,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76731""","""'.github/workflows/cancel-CI.yml""",0.00,4026,2559,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76687""","""'.github/workflows/cancel-coverage.yml""",0.00,3991,2965,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76639""","""'.github/workflows/cancel-CI.yml""",0.00,3981,3061,"""'hosted""","""'ubuntu-latest""",1
"""'Prepare""","""'dynamic/copilot-pull-request-reviewer/copilot-pull-request-reviewer""",0.00,3968,2659,"""'hosted""","""'ubuntu-latest""",4
"""'Cancel CI-Build for 76639""","""'.github/workflows/cancel-CI-build.yml""",0.00,3967,3832,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76674""","""'.github/workflows/cancel-coverage.yml""",0.00,3957,2611,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76743""","""'.github/workflows/cancel-CI.yml""",0.00,3939,4171,"""'hosted""","""'ubuntu-latest""",1
"""'Remove skip-ci labels on new commits""","""'.github/workflows/remove-skip-ci-labels.yml""",0.00,3922,2813,"""'hosted""","""'ubuntu-latest""",182
"""'Cancel CI-Build for 76695""","""'.github/workflows/cancel-CI-build.yml""",0.00,3905,3078,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Build for 76508""","""'.github/workflows/cancel-CI-build.yml""",0.00,3902,2799,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76685""","""'.github/workflows/cancel-windows.yml""",0.00,3897,2814,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76716""","""'.github/workflows/cancel-coverage.yml""",0.00,3892,2294,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76681""","""'.github/workflows/cancel-coverage.yml""",0.00,3891,2570,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Build for 76680""","""'.github/workflows/cancel-CI-build.yml""",0.00,3885,2656,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76723""","""'.github/workflows/cancel-CI.yml""",0.00,3881,2737,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76639""","""'.github/workflows/cancel-coverage.yml""",0.00,3876,3006,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Build for 76693""","""'.github/workflows/cancel-CI-build.yml""",0.00,3875,5606,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76553""","""'.github/workflows/cancel-coverage.yml""",0.00,3857,5106,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76730""","""'.github/workflows/cancel-coverage.yml""",0.00,3832,2265,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Build for 76717""","""'.github/workflows/cancel-CI-build.yml""",0.00,3824,2291,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Build for 76704""","""'.github/workflows/cancel-CI-build.yml""",0.00,3821,3109,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76707""","""'.github/workflows/cancel-coverage.yml""",0.00,3814,2469,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Build for 76677""","""'.github/workflows/cancel-CI-build.yml""",0.00,3810,2796,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76549""","""'.github/workflows/cancel-CI.yml""",0.00,3797,5987,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76661""","""'.github/workflows/cancel-coverage.yml""",0.00,3795,7384,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76681""","""'.github/workflows/cancel-windows.yml""",0.00,3793,2715,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76730""","""'.github/workflows/cancel-windows.yml""",0.00,3792,2151,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Build for 76690""","""'.github/workflows/cancel-CI-build.yml""",0.00,3789,5752,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76723""","""'.github/workflows/cancel-windows.yml""",0.00,3788,2374,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76660""","""'.github/workflows/cancel-CI.yml""",0.00,3788,2789,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Build for 76731""","""'.github/workflows/cancel-CI-build.yml""",0.00,3784,2398,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76687""","""'.github/workflows/cancel-windows.yml""",0.00,3782,2405,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76742""","""'.github/workflows/cancel-coverage.yml""",0.00,3781,2268,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76679""","""'.github/workflows/cancel-windows.yml""",0.00,3773,2325,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76717""","""'.github/workflows/cancel-coverage.yml""",0.00,3773,2363,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76741""","""'.github/workflows/cancel-windows.yml""",0.00,3771,1958760,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76652""","""'.github/workflows/cancel-CI.yml""",0.00,3765,5698,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76740""","""'.github/workflows/cancel-windows.yml""",0.00,3763,2655,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76704""","""'.github/workflows/cancel-windows.yml""",0.00,3763,3033,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Build for 76671""","""'.github/workflows/cancel-CI-build.yml""",0.00,3761,2694,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76727""","""'.github/workflows/cancel-windows.yml""",0.00,3760,2803,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76690""","""'.github/workflows/cancel-windows.yml""",0.00,3758,2798,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76606""","""'.github/workflows/cancel-CI.yml""",0.00,3747,3042,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Build for 76760""","""'.github/workflows/cancel-CI-build.yml""",0.00,3737,2643,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76576""","""'.github/workflows/cancel-coverage.yml""",0.00,3732,3489,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Build for 76742""","""'.github/workflows/cancel-CI-build.yml""",0.00,3730,2232,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76761""","""'.github/workflows/cancel-coverage.yml""",0.00,3729,2938,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76667""","""'.github/workflows/cancel-windows.yml""",0.00,3728,3172,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76744""","""'.github/workflows/cancel-CI.yml""",0.00,3723,2976,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76719""","""'.github/workflows/cancel-CI.yml""",0.00,3722,2893,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76552""","""'.github/workflows/cancel-coverage.yml""",0.00,3718,2489,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76695""","""'.github/workflows/cancel-CI.yml""",0.00,3716,3177,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76684""","""'.github/workflows/cancel-windows.yml""",0.00,3715,3028,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76713""","""'.github/workflows/cancel-CI.yml""",0.00,3712,2963,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76680""","""'.github/workflows/cancel-windows.yml""",0.00,3702,2964,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Build for 76737""","""'.github/workflows/cancel-CI-build.yml""",0.00,3695,4036,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Build for 76719""","""'.github/workflows/cancel-CI-build.yml""",0.00,3694,2088,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76731""","""'.github/workflows/cancel-coverage.yml""",0.00,3687,2373,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76508""","""'.github/workflows/cancel-CI.yml""",0.00,3675,4515,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76746""","""'.github/workflows/cancel-coverage.yml""",0.00,3666,2079,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76720""","""'.github/workflows/cancel-coverage.yml""",0.00,3664,2172,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76754""","""'.github/workflows/cancel-coverage.yml""",0.00,3662,2590,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76761""","""'.github/workflows/cancel-windows.yml""",0.00,3652,2392,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Build for 76752""","""'.github/workflows/cancel-CI-build.yml""",0.00,3651,2965,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Build for 76611""","""'.github/workflows/cancel-CI-build.yml""",0.00,3636,2739,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76712""","""'.github/workflows/cancel-CI.yml""",0.00,3634,2195,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76664""","""'.github/workflows/cancel-coverage.yml""",0.00,3633,2802,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76731""","""'.github/workflows/cancel-windows.yml""",0.00,3618,2092,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Build for 76698""","""'.github/workflows/cancel-CI-build.yml""",0.00,3612,2496,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Build for 76576""","""'.github/workflows/cancel-CI-build.yml""",0.00,3590,4963,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76693""","""'.github/workflows/cancel-windows.yml""",0.00,3587,2261,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76737""","""'.github/workflows/cancel-coverage.yml""",0.00,3579,3140,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76755""","""'.github/workflows/cancel-windows.yml""",0.00,3573,2273,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76699""","""'.github/workflows/cancel-windows.yml""",0.00,3569,4623,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76712""","""'.github/workflows/cancel-coverage.yml""",0.00,3558,2049,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76676""","""'.github/workflows/cancel-CI.yml""",0.00,3554,2552,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Build for 76746""","""'.github/workflows/cancel-CI-build.yml""",0.00,3551,2208,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76679""","""'.github/workflows/cancel-coverage.yml""",0.00,3545,2604,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76685""","""'.github/workflows/cancel-coverage.yml""",0.00,3543,2120,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76686""","""'.github/workflows/cancel-windows.yml""",0.00,3534,2067,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76726""","""'.github/workflows/cancel-coverage.yml""",0.00,3528,2426,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Build for 76656""","""'.github/workflows/cancel-CI-build.yml""",0.00,3499,5223,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76745""","""'.github/workflows/cancel-coverage.yml""",0.00,3491,6960,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76760""","""'.github/workflows/cancel-CI.yml""",0.00,3457,2392,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Build for 76761""","""'.github/workflows/cancel-CI-build.yml""",0.00,3434,2458,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76706""","""'.github/workflows/cancel-CI.yml""",0.00,3426,3231,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76656""","""'.github/workflows/cancel-CI.yml""",0.00,3423,4927,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76685""","""'.github/workflows/cancel-CI.yml""",0.00,3413,2903,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76647""","""'.github/workflows/cancel-windows.yml""",0.00,3398,2899,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76741""","""'.github/workflows/cancel-coverage.yml""",0.00,3379,1994849,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76660""","""'.github/workflows/cancel-windows.yml""",0.00,3373,2457,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76552""","""'.github/workflows/cancel-windows.yml""",0.00,3364,2578,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76752""","""'.github/workflows/cancel-CI.yml""",0.00,3357,5332,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76652""","""'.github/workflows/cancel-windows.yml""",0.00,3342,5743,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76660""","""'.github/workflows/cancel-coverage.yml""",0.00,3335,3034,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76694""","""'.github/workflows/cancel-CI.yml""",0.00,3329,2612,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76737""","""'.github/workflows/cancel-windows.yml""",0.00,3323,2960,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Build for 76660""","""'.github/workflows/cancel-CI-build.yml""",0.00,3316,2851,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76742""","""'.github/workflows/cancel-CI.yml""",0.00,3312,13135,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76611""","""'.github/workflows/cancel-coverage.yml""",0.00,3311,2503,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76667""","""'.github/workflows/cancel-CI.yml""",0.00,3302,3910,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Build for 76555""","""'.github/workflows/cancel-CI-build.yml""",0.00,3275,1938,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Build for 76740""","""'.github/workflows/cancel-CI-build.yml""",0.00,3242,2462,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76717""","""'.github/workflows/cancel-windows.yml""",0.00,3221,4819,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76746""","""'.github/workflows/cancel-windows.yml""",0.00,3203,2214,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76396""","""'.github/workflows/cancel-CI.yml""",0.00,3173,2170,"""'hosted""","""'ubuntu-latest""",2
"""'Cancel CI-Build for 76661""","""'.github/workflows/cancel-CI-build.yml""",0.00,3167,2312,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76639""","""'.github/workflows/cancel-windows.yml""",0.00,3166,2536,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76704""","""'.github/workflows/cancel-CI.yml""",0.00,3150,2923,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Build for 76744""","""'.github/workflows/cancel-CI-build.yml""",0.00,3145,4725,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76695""","""'.github/workflows/cancel-coverage.yml""",0.00,3068,2570,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76717""","""'.github/workflows/cancel-CI.yml""",0.00,2968,1877,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Build for 76754""","""'.github/workflows/cancel-CI-build.yml""",0.00,2956,3171,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Build for 76723""","""'.github/workflows/cancel-CI-build.yml""",0.00,2916,2351,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76741""","""'.github/workflows/cancel-CI.yml""",0.00,2907,1662167,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76549""","""'.github/workflows/cancel-coverage.yml""",0.00,2898,2821,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 75879""","""'.github/workflows/cancel-CI.yml""",0.00,2891,2006,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76555""","""'.github/workflows/cancel-coverage.yml""",0.00,2880,1743,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76733""","""'.github/workflows/cancel-coverage.yml""",0.00,2842,2247,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76745""","""'.github/workflows/cancel-CI.yml""",0.00,2840,7276,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76726""","""'.github/workflows/cancel-CI.yml""",0.00,2822,2534,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76740""","""'.github/workflows/cancel-CI.yml""",0.00,2808,2385,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76755""","""'.github/workflows/cancel-CI.yml""",0.00,2789,1739,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76752""","""'.github/workflows/cancel-coverage.yml""",0.00,2786,2156,"""'hosted""","""'ubuntu-latest""",1
